Label,precision,recall,f1-score,support
slk,1.0,1.0,1.0,11.0
slv,1.0,0.9230769230769232,0.96,13.0
sme,0.9375,0.9375,0.9375,16.0
smo,0.8333333333333334,0.7692307692307693,0.8,13.0
sna,0.5384615384615384,0.4117647058823529,0.4666666666666667,17.0
snd,1.0,1.0,1.0,13.0
som,0.8421052631578947,0.5517241379310345,0.6666666666666666,29.0
sot,0.75,0.5625,0.6428571428571429,16.0
spa,0.7333333333333333,1.0,0.8461538461538461,11.0
sqi,0.7647058823529411,0.7222222222222222,0.7428571428571429,18.0
srd,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
srm,1.0,1.0,1.0,19.0
srn,1.0,1.0,1.0,15.0
srp,0.9090909090909092,0.8,0.851063829787234,25.0
ssw,1.0,0.7777777777777778,0.875,9.0
sun,0.7142857142857143,0.5,0.5882352941176471,20.0
suz,1.0,1.0,1.0,10.0
swa,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0
swc,0.6,1.0,0.75,12.0
swe,0.8888888888888888,1.0,0.9411764705882352,8.0
swh,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
szl,0.9,0.9,0.9,10.0
tah,1.0,0.8125,0.896551724137931,16.0
tam,1.0,1.0,1.0,17.0
tat,0.7241379310344828,0.65625,0.6885245901639344,32.0
tbz,1.0,1.0,1.0,13.0
tca,1.0,1.0,1.0,19.0
tdt,1.0,1.0,1.0,18.0
tgk,0.4857142857142857,0.5151515151515151,0.5,33.0
tgl,0.6923076923076923,0.6923076923076923,0.6923076923076923,13.0
tha,1.0,1.0,1.0,12.0
tir,1.0,1.0,1.0,20.0
tlh,1.0,1.0,1.0,12.0
tls,1.0,0.875,0.9333333333333332,8.0
toj,1.0,1.0,1.0,12.0
tok,1.0,1.0,1.0,10.0
ton,0.8666666666666667,0.8125,0.8387096774193549,16.0
top,1.0,1.0,1.0,17.0
tpi,0.9411764705882352,0.9411764705882352,0.9411764705882352,17.0
tsn,0.5384615384615384,0.7,0.6086956521739131,10.0
tso,1.0,1.0,1.0,14.0
tuc,1.0,1.0,1.0,11.0
tuk,0.84375,0.9,0.8709677419354839,30.0
tum,1.0,0.9285714285714286,0.9629629629629628,14.0
tur,1.0,1.0,1.0,11.0
twi,0.9285714285714286,0.7222222222222222,0.8125,18.0
tyv,1.0,0.9047619047619048,0.95,21.0
tzo,1.0,1.0,1.0,16.0
udm,1.0,0.8666666666666667,0.9285714285714286,15.0
uig,0.8529411764705882,0.90625,0.8787878787878788,32.0
ukr,1.0,0.9375,0.967741935483871,16.0
umb,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
urd,0.6428571428571429,0.5625,0.6,16.0
uzb,0.782608695652174,0.6666666666666666,0.72,27.0
uzn,0.5263157894736842,1.0,0.6896551724137931,10.0
vec,0.8181818181818182,0.6428571428571429,0.72,14.0
ven,1.0,1.0,1.0,15.0
vep,1.0,1.0,1.0,20.0
vie,1.0,1.0,1.0,14.0
vls,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
vol,0.9,1.0,0.9473684210526316,9.0
wal,1.0,1.0,1.0,20.0
war,1.0,0.4444444444444444,0.6153846153846154,18.0
wln,0.5833333333333334,0.9333333333333332,0.717948717948718,15.0
wol,0.8571428571428571,0.9230769230769232,0.8888888888888888,13.0
wuu,1.0,0.75,0.8571428571428571,8.0
xav,1.0,1.0,1.0,14.0
xho,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0
xmf,1.0,0.9,0.9473684210526316,10.0
yao,1.0,1.0,1.0,16.0
yap,1.0,1.0,1.0,11.0
yid,0.8571428571428571,1.0,0.9230769230769232,6.0
yom,1.0,1.0,1.0,10.0
yor,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
yue,0.8,1.0,0.8888888888888888,8.0
zai,1.0,1.0,1.0,11.0
zea,0.75,0.75,0.75,12.0
zho,0.9333333333333332,0.7777777777777778,0.8484848484848485,18.0
zlm,1.0,1.0,1.0,6.0
zsm,0.5625,0.6428571428571429,0.6,14.0
zul,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
