,precision,recall,f1-score,support
60,1.0,1.0,1.0,20.0
61,0.6153846153846154,0.6666666666666666,0.64,12.0
62,0.7894736842105263,1.0,0.8823529411764706,15.0
63,0.3333333333333333,0.5,0.4,8.0
64,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
65,0.0,0.0,0.0,1.0
66,1.0,0.9166666666666666,0.9565217391304348,12.0
67,0.9473684210526315,1.0,0.972972972972973,18.0
68,1.0,0.9090909090909091,0.9523809523809523,11.0
69,1.0,1.0,1.0,14.0
70,0.9473684210526315,0.8571428571428571,0.9,21.0
71,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
72,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
73,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
74,0.8571428571428571,0.6,0.7058823529411765,10.0
75,1.0,1.0,1.0,11.0
76,0.9285714285714286,1.0,0.9629629629629629,13.0
77,0.9411764705882353,1.0,0.9696969696969697,16.0
78,0.7647058823529411,0.9285714285714286,0.8387096774193549,14.0
79,0.9,0.9,0.9,10.0
80,1.0,1.0,1.0,13.0
81,1.0,0.95,0.9743589743589743,20.0
82,0.52,0.8666666666666667,0.65,15.0
83,0.0,0.0,0.0,0.0
84,1.0,1.0,1.0,15.0
85,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
86,1.0,1.0,1.0,15.0
87,0.9230769230769231,1.0,0.96,12.0
88,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
89,1.0,1.0,1.0,14.0
90,0.8181818181818182,0.6923076923076923,0.75,13.0
91,1.0,1.0,1.0,13.0
92,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0
93,1.0,0.9090909090909091,0.9523809523809523,11.0
94,0.9285714285714286,1.0,0.9629629629629629,13.0
95,0.6923076923076923,0.8181818181818182,0.75,11.0
96,0.9166666666666666,1.0,0.9565217391304348,11.0
97,1.0,0.8181818181818182,0.9,22.0
98,0.6666666666666666,1.0,0.8,10.0
99,1.0,1.0,1.0,6.0
100,0.0,0.0,0.0,1.0
101,0.8,1.0,0.8888888888888888,4.0
104,1.0,0.7333333333333333,0.8461538461538461,15.0
105,0.9166666666666666,1.0,0.9565217391304348,11.0
106,0.9166666666666666,0.8461538461538461,0.88,13.0
107,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
108,0.96,1.0,0.9795918367346939,24.0
109,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
